Timestamp,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10
5/29/2020 20:33:41,3,3,1,3,3,2,3,2,3,2
5/29/2020 20:53:31,1,2,2,3,2,2,3,2,3,3
5/29/2020 20:57:44,1,2,2,3,2,2,2,2,3,3
5/29/2020 20:57:50,3,1,3,2,1,1,2,2,3,1
5/29/2020 20:58:20,3,3,2,2,3,1,2,3,3,2
5/29/2020 21:04:34,3,3,3,2,2,1,2,2,3,1
5/29/2020 21:20:31,1,2,2,3,3,1,1,1,2,2
5/29/2020 21:32:46,1,2,2,2,2,3,3,2,3,1
5/29/2020 21:37:11,3,1,3,1,3,1,1,2,3,3
5/29/2020 22:04:05,1,2,2,3,2,2,3,2,3,3
5/29/2020 22:52:03,1,2,2,3,2,2,3,2,1,2
5/29/2020 22:52:58,3,3,2,2,2,2,3,2,3,2
5/29/2020 23:26:58,3,3,3,3,2,2,2,2,2,2
5/30/2020 0:05:57,3,3,2,2,2,2,3,2,3,2
5/30/2020 0:10:22,3,1,2,3,1,1,3,2,2,1
5/30/2020 0:29:23,3,1,2,3,2,2,3,2,3,1
5/30/2020 0:39:07,1,3,2,3,2,1,3,2,2,2
5/30/2020 1:06:55,1,2,3,1,2,2,3,3,3,3
5/30/2020 1:36:32,3,3,3,3,1,1,2,2,1,3
